FEN,Average Error,Event,Move,Best Move,Player,To Move,White,Black,Round,Result,WhiteElo,BlackElo,Opening,File
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.305,FIDE World Championship Match 1969,c2c4,d2d4,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,0.5694999999999999,FIDE World Championship Match 1969,e7e6,e7e5,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,1.4252941176470586,FIDE World Championship Match 1969,c7c5,g8f6,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
rnbqkbnr/pp3ppp/8/2pp4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 1 5,2.1752777777777776,FIDE World Championship Match 1969,b8c6,c5d4,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bqkbnr/pp3ppp/2n5/2pp4/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 6,1.3544117647058822,FIDE World Championship Match 1969,g2g3,d4c5,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bqkbnr/pp3ppp/2n5/2pp4/3P4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq - 0 6,1.8212500000000005,FIDE World Championship Match 1969,g8f6,c5d4,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bqkb1r/pp3ppp/2n2n2/2pp4/3P4/2N2NP1/PP2PPBP/R1BQK2R b KQkq - 2 7,1.5728947368421051,FIDE World Championship Match 1969,f8e7,c5d4,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bqk2r/pp2bppp/2n2n2/2pp4/3P4/2N2NP1/PP2PPBP/R1BQK2R w KQkq - 3 8,1.293947368421053,FIDE World Championship Match 1969,e1g1,d4c5,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bqk2r/pp2bppp/2n2n2/2pp4/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq - 4 8,1.8205263157894742,FIDE World Championship Match 1969,e8g8,c5c4,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bq1rk1/pp2bppp/2n2n2/2pp2B1/3P4/2N2NP1/PP2PPBP/R2Q1RK1 b - - 6 9,1.6305882352941174,FIDE World Championship Match 1969,c5d4,c5c4,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
