FEN,Average Error,Event,Move,Best Move,Player,To Move,White,Black,Round,Result,WhiteElo,BlackElo,Opening,File
8/5p2/5kp1/7p/2Q4P/3K1Pq1/4P3/8 w - - 2 61,-11.786785714285715,FIDE World Championship Match 1969,c4d4,d3d2,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1r3k1/1p2ppbp/p2pb1p1/3n4/2P1P3/1P2BP2/P2KB1PP/2R4R w - - 0 16,-5.370499999999999,FIDE World Championship Match 1969,c4d5,e4d5,White,White,"Spassky, Boris V.","Petrosian, Tigran V",3,1/2-1/2,N/A,N/A,"Sicilian Defense: Accelerated Dragon, Maróczy Bind, Gurgenidze Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
4b3/1p2kp1p/pB1p2p1/3Pb3/P4P2/1P1B2P1/3K3P/8 b - - 0 27,3.491904761904762,FIDE World Championship Match 1969,e5g7,e5f6,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",3,1/2-1/2,N/A,N/A,"Sicilian Defense: Accelerated Dragon, Maróczy Bind, Gurgenidze Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
4b3/1p2kpbp/pB1p2p1/3P4/P4PP1/1P1B4/3K3P/8 b - - 0 28,6.077727272727273,FIDE World Championship Match 1969,e8d7,g7b2,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",3,1/2-1/2,N/A,N/A,"Sicilian Defense: Accelerated Dragon, Maróczy Bind, Gurgenidze Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/1p1bkpbp/pB1p2p1/3P4/P4PP1/1P1B3P/3K4/8 b - - 0 29,5.583846153846153,FIDE World Championship Match 1969,h7h5,g7a1,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",3,1/2-1/2,N/A,N/A,"Sicilian Defense: Accelerated Dragon, Maróczy Bind, Gurgenidze Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/1p1bkpb1/pB1p2p1/3P3p/P4PP1/1P5P/3KB3/8 b - - 1 30,5.566153846153847,FIDE World Championship Match 1969,h5g4,e7f8,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",3,1/2-1/2,N/A,N/A,"Sicilian Defense: Accelerated Dragon, Maróczy Bind, Gurgenidze Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
2rr2k1/pp2qpp1/2n2n1p/3p4/6b1/1NN1P1P1/PP2QPBP/2R1R1K1 w - - 3 19,-4.49547619047619,FIDE World Championship Match 1969,f2f3,e2f1,White,White,"Petrosian, Tigran V","Spassky, Boris V.",4,0-1,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
2rr2k1/pp2qpp1/2n2n1p/3p4/6b1/1NN1PPP1/PP2Q1BP/2R1R1K1 b - - 0 19,3.8449999999999993,FIDE World Championship Match 1969,g4f5,g4e6,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",4,0-1,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
4r1k1/pp2qppb/1r3n1p/3p4/3n2P1/1P2PPN1/P2Q2BP/3RR1K1 w - - 0 29,-4.906666666666666,FIDE World Championship Match 1969,e3d4,d2d4,White,White,"Petrosian, Tigran V","Spassky, Boris V.",4,0-1,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
4r1k1/pp2qppb/4rn1p/3p4/3P2P1/1P3PN1/P2Q2BP/3RR1K1 w - - 1 30,-4.869512195121951,FIDE World Championship Match 1969,e1e6,g1f2,White,White,"Petrosian, Tigran V","Spassky, Boris V.",4,0-1,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
